"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2025",87.1,87.5,87.7,86,"1.98K","0,11%"
"08/29/2025",87,88.5,92.6,86.8,"26.05K","2,35%"
"08/28/2025",85,83.5,85.2,83.5,"7.75K","2,78%"
"08/27/2025",82.7,83.5,83.5,81.6,"5.33K","0,00%"
"08/26/2025",82.7,85,85,82.7,"8.24K","-1,90%"
"08/25/2025",84.3,85.3,85.3,83.3,"5.13K","-0,94%"
"08/22/2025",85.1,83.9,85.3,82.7,"7.64K","1,92%"
"08/21/2025",83.5,83,84,82.4,"7.36K","0,60%"
"08/20/2025",83,81,84.9,79,"20.03K","1,97%"
"08/19/2025",81.4,82.4,82.4,79.6,"19.44K","-1,21%"
"08/18/2025",82.4,83.2,85,81,"10.96K","0,86%"
"08/15/2025",81.7,85.2,86.8,81.7,"17.68K","-2,51%"
"08/14/2025",83.8,80.3,87.7,80.3,"31.73K","14,01%"
"08/13/2025",73.5,72.8,74,71.8,"11.45K","0,27%"
"08/12/2025",73.3,77.9,77.9,72.5,"11.49K","-5,54%"
"08/11/2025",77.6,79.9,79.9,77.6,"4.33K","-1,90%"
"08/08/2025",79.1,79.1,79.7,78.4,"2.87K","0,38%"
"08/07/2025",78.8,77.6,80,77.6,"3.62K","1,03%"
"08/06/2025",78,80.8,81.2,78,"5.24K","-2,86%"
"08/05/2025",80.3,77.6,80.3,77.6,"7.88K","4,15%"
"08/04/2025",77.1,76.5,78.2,76,"4.83K","0,13%"
"08/01/2025",77,81.1,81.1,77,"7.97K","-5,06%"
"07/31/2025",81.1,82,82.9,80.3,"12.03K","-1,46%"
"07/30/2025",82.3,83.6,84,82,"5.51K","-1,08%"
"07/29/2025",83.2,86.4,86.9,83.2,"11.72K","-3,14%"
"07/28/2025",85.9,87,88.4,85.7,"9.34K","-1,38%"
"07/25/2025",87.1,89.3,89.3,86.4,"5.64K","-1,02%"
"07/24/2025",88,87.5,89.2,87.1,"7.66K","-0,11%"
"07/23/2025",88.1,88,91,87.8,"6.68K","0,23%"
"07/22/2025",87.9,89,89,86.5,"7.75K","-1,68%"
"07/21/2025",89.4,91.9,93,89.4,"7.24K","-1,76%"
"07/18/2025",91,90.6,92.4,89.8,"11.05K","0,66%"
"07/17/2025",90.4,89.8,92.1,89,"11.93K","1,57%"
"07/16/2025",89,86.1,89.8,86.1,"7.58K","1,37%"
"07/15/2025",87.8,84.9,88.7,84.9,"6.84K","3,29%"
"07/14/2025",85,85.1,86.1,83.8,"17.44K","-1,51%"
"07/11/2025",86.3,86.9,87.1,85.4,"7.43K","-0,23%"
"07/10/2025",86.5,86.5,88.7,86.4,"9.19K","0,23%"
"07/09/2025",86.3,84,86.4,82.9,"13.29K","2,74%"
"07/08/2025",84,83,84.9,82.5,"6.77K","1,45%"
"07/07/2025",82.8,84.9,84.9,82,"8.23K","-1,43%"
"07/04/2025",84,89.4,89.4,84,"14.93K","-6,67%"
"07/03/2025",90,88.9,90.7,87.8,"16.77K","-0,11%"
"07/02/2025",90.1,89.6,90.1,88.6,"2.66K","1,81%"
"07/01/2025",88.5,89.9,89.9,88.2,"3.31K","-0,34%"
"06/30/2025",88.8,88.5,89,87.3,"5.34K","1,14%"
"06/27/2025",87.8,86,89.2,86,"3.99K","1,74%"
"06/26/2025",86.3,84.3,86.5,84.3,"4.59K","0,94%"
"06/25/2025",85.5,86,86.5,85,"7.04K","-0,81%"
