"Date","Price","Open","High","Low","Vol.","Change %"
"03/21/2022","14.8157","14.8117","14.9130","14.7433","","0.17%"
"03/18/2022","14.7899","14.7001","14.8865","14.5535","","0.61%"
"03/17/2022","14.6998","14.6308","14.8300","14.5015","","0.63%"
"03/16/2022","14.6077","14.6982","14.8340","14.5655","","-0.63%"
"03/15/2022","14.7002","14.7810","14.9157","14.4973","","-0.51%"
"03/14/2022","14.7754","14.7597","14.9675","14.6953","","0.11%"
"03/11/2022","14.7595","14.8418","15.0425","14.6613","","-0.36%"
"03/10/2022","14.8131","14.6505","14.9281","14.5609","","1.20%"
"03/09/2022","14.6378","14.4940","14.7076","14.4394","","1.12%"
"03/08/2022","14.4762","14.3767","14.6035","14.3185","","0.76%"
"03/07/2022","14.3666","14.1515","14.4385","14.0854","","1.28%"
"03/04/2022","14.1845","14.1189","14.4431","14.0305","","0.63%"
"03/03/2022","14.0950","14.0178","14.2375","13.9476","","0.62%"
"03/02/2022","14.0084","13.9176","14.2035","13.8327","","0.66%"
"03/01/2022","13.9160","13.8295","14.0325","13.7020","","0.52%"
"02/28/2022","13.8443","13.8237","14.1590","13.6515","","0.18%"
"02/25/2022","13.8196","14.0343","14.1635","13.7359","","-1.31%"
"02/24/2022","14.0034","13.8225","14.7314","13.7672","","1.41%"
"02/23/2022","13.8081","13.7891","13.8840","13.6535","","0.18%"
"02/22/2022","13.7828","13.6980","13.9375","13.6119","","0.74%"
"02/21/2022","13.6809","13.6729","13.7183","13.5491","","0.28%"
"02/18/2022","13.6426","13.5759","13.6956","13.5005","","0.51%"
"02/17/2022","13.5736","13.5996","13.6760","13.5330","","-0.17%"
"02/16/2022","13.5973","13.6071","13.6910","13.5327","","0.03%"
"02/15/2022","13.5939","13.5990","13.7419","13.5149","","0.07%"
"02/14/2022","13.5848","13.5212","13.6835","13.3962","","0.50%"
"02/11/2022","13.5177","13.4979","13.6185","13.3973","","0.37%"
"02/10/2022","13.4683","13.5400","13.6867","13.4310","","-0.42%"
"02/09/2022","13.5245","13.5639","13.6941","13.4590","","-0.24%"
"02/08/2022","13.5565","13.5970","13.7459","13.4707","","-0.11%"
"02/07/2022","13.5718","13.5679","13.6985","13.4429","","0.09%"
"02/04/2022","13.5596","13.5618","13.6115","13.4976","","0.03%"
"02/03/2022","13.5549","13.4616","13.7474","13.3733","","0.76%"
"02/02/2022","13.4525","13.3786","13.6895","13.2438","","0.62%"
"02/01/2022","13.3696","13.3221","13.6005","13.1972","","0.47%"
"01/31/2022","13.3074","13.5365","13.6906","13.2147","","-1.80%"
"01/28/2022","13.5507","13.6501","13.7610","13.4400","","-0.71%"
"01/27/2022","13.6470","13.5794","13.8010","13.4368","","0.67%"
"01/26/2022","13.5561","13.4816","13.7030","13.3523","","0.59%"
"01/25/2022","13.4769","13.4641","13.6632","13.2772","","0.23%"
"01/24/2022","13.4455","13.4555","13.6634","13.2355","","0.10%"
