Asset,Weight,HitRatio,MSE,RMSE,MAPE,NRMSE
adesso,0.7,0,129084.46,359.283,335.783,3.258
adesso,0.75,0.267,4804.559,69.315,65.185,0.674
adesso,0.8,0.031,7710.445,87.809,90.142,0.931
adesso,0.85,0.382,1333.935,36.523,38.069,0.405
adesso,0.9,0.711,278.682,16.694,18.002,0.198
adesso,0.95,0.548,233.858,15.292,14.844,0.17
adesso,SEQUENTIAL,0.479,8.357,2.891,2.034,0.039
adesso,mean,0.32316666666666666,23907.6565,97.486,93.67083333333333,0.9393333333333334
dax,0.7,0.695,22476295.551,4740.917,31.299,0.338
dax,0.75,0.961,5269190.279,2295.472,13.602,0.156
dax,0.8,0.901,3129896.474,1769.151,9.357,0.116
dax,0.85,0.802,6962309.37,2638.619,10.88,0.161
dax,0.9,0.78,6250935.155,2500.187,9.231,0.144
dax,0.95,0.434,11628591.338,3410.072,13.033,0.171
dax,SEQUENTIAL,0.607,9660.899,98.29,0.926,0.013
dax,mean,0.7621666666666667,9286203.027833333,2892.4030000000002,14.567,0.181
lufthansa,0.7,0.617,10.926,3.305,40.427,0.462
lufthansa,0.75,0.882,3.594,1.896,20.463,0.265
lufthansa,0.8,0.809,3.297,1.816,18.91,0.249
lufthansa,0.85,0.206,11.253,3.355,46.841,0.458
lufthansa,0.9,0.895,0.926,0.962,13.114,0.144
lufthansa,0.95,0.863,0.824,0.908,9.646,0.133
lufthansa,SEQUENTIAL,0.589,0.107,0.327,1.744,0.027
lufthansa,mean,0.712,5.136666666666667,2.0403333333333333,24.900166666666667,0.2851666666666667
