"Date","Price","Open","High","Low","Vol.","Change.."
"09/01/2025",7.934,7.966,7.987,7.929,NA,"-0,28%"
"08/29/2025",7.956,7.97,7.99,7.892,"2.81M","-0,30%"
"08/28/2025",7.98,8.06,8.098,7.978,"2.34M","-0,55%"
"08/27/2025",8.024,8.118,8.186,7.94,"4.23M","-1,38%"
"08/26/2025",8.136,8.132,8.172,8.092,"3.51M","-0,78%"
"08/25/2025",8.2,8.282,8.386,8.2,"3.06M","-0,87%"
"08/22/2025",8.272,8.11,8.296,8.11,"3.55M","1,65%"
"08/21/2025",8.138,8.2,8.2,8.044,"3.90M","-1,38%"
"08/20/2025",8.252,8.304,8.35,8.224,"3.41M","-1,15%"
"08/19/2025",8.348,8.25,8.374,8.25,"3.97M","1,34%"
"08/18/2025",8.238,8.322,8.33,8.202,"2.51M","-1,25%"
"08/15/2025",8.342,8.3,8.352,8.264,"4.46M","1,02%"
"08/14/2025",8.258,8.124,8.258,8.118,"5.50M","1,45%"
"08/13/2025",8.14,8.1,8.16,8.09,"4.98M","0,99%"
"08/12/2025",8.06,8.004,8.094,7.928,"4.31M","0,02%"
"08/11/2025",8.058,8.06,8.14,8.018,"4.21M","0,27%"
"08/08/2025",8.036,7.938,8.086,7.912,"6.69M","1,16%"
"08/07/2025",7.944,7.648,8.002,7.648,"14.20M","4,42%"
"08/06/2025",7.608,7.5,7.63,7.47,"4.98M","2,12%"
"08/05/2025",7.45,7.418,7.496,7.398,"3.02M","1,03%"
"08/04/2025",7.374,7.398,7.532,7.324,"4.68M","1,01%"
"08/01/2025",7.3,7.45,7.482,7.232,"6.88M","-3,23%"
"07/31/2025",7.544,7.7,7.7,7.344,"8.84M","0,88%"
"07/30/2025",7.478,7.602,7.63,7.478,"4.88M","-1,99%"
"07/29/2025",7.63,7.664,7.728,7.604,"2.99M","0,10%"
"07/28/2025",7.622,7.75,7.798,7.596,"4.85M","-1,01%"
"07/25/2025",7.7,7.624,7.706,7.58,"3.45M","0,16%"
"07/24/2025",7.688,7.7,7.744,7.61,"4.66M","0,37%"
"07/23/2025",7.66,7.534,7.66,7.51,"5.86M","2,46%"
"07/22/2025",7.476,7.5,7.532,7.386,"2.95M","-0,40%"
"07/21/2025",7.506,7.5,7.6,7.456,"4.40M","0,94%"
"07/18/2025",7.436,7.496,7.544,7.41,"3.54M","-0,77%"
"07/17/2025",7.494,7.49,7.536,7.39,"4.31M","1,30%"
"07/16/2025",7.398,7.346,7.578,7.342,"5.78M","0,41%"
"07/15/2025",7.368,7.36,7.428,7.33,"2.97M","0,41%"
"07/14/2025",7.338,7.2,7.346,7.15,"3.92M","-0,62%"
"07/11/2025",7.384,7.44,7.536,7.374,"3.58M","-1,49%"
"07/10/2025",7.496,7.438,7.512,7.37,"6.75M","1,11%"
"07/09/2025",7.414,7.39,7.496,7.376,"4.54M","0,19%"
"07/08/2025",7.4,7.274,7.4,7.23,"4.75M","1,79%"
"07/07/2025",7.27,7.144,7.27,7.12,"2.99M","1,54%"
"07/04/2025",7.16,7.288,7.32,7.152,"3.30M","-2,13%"
"07/03/2025",7.316,7.328,7.372,7.256,"2.93M","0,11%"
"07/02/2025",7.308,7.19,7.386,7.174,"5.26M","0,72%"
"07/01/2025",7.256,7.202,7.308,7.196,"4.30M","1,06%"
"06/30/2025",7.18,7.196,7.226,7.088,"4.75M","0,39%"
"06/27/2025",7.152,7.118,7.152,7.07,"3.54M","1,22%"
