Asset,Weight,HitRatio,MSE,RMSE,MAPE,NRMSE
dax,0.7,0.681,20735007.663,4553.571,30.365,0.325
dax,0.75,0.97,5318111.954,2306.103,13.618,0.157
dax,0.8,0.903,3049603.004,1746.311,8.751,0.114
dax,0.85,0.837,6817069.028,2610.952,10.776,0.159
dax,0.9,0.8,5098128.065,2257.903,8.481,0.13
dax,0.95,0.429,12342161.508,3513.141,13.538,0.176
dax,Seq,0.317,199442.372,446.59,4.281,0.059
dax,mean,0.77,8893346.87,2831.33,14.255,0.177
lufthansa,0.7,0.679,9.772,3.126,37.716,0.437
lufthansa,0.75,0.843,4.562,2.136,23.397,0.299
lufthansa,0.8,0.809,3.339,1.827,18.906,0.25
lufthansa,0.85,0.189,11.72,3.423,47.758,0.468
lufthansa,0.9,0.886,0.965,0.983,13.383,0.147
lufthansa,0.95,0.891,0.697,0.835,8.923,0.123
lufthansa,Seq,0.268,1.548,1.244,7.985,0.102
lufthansa,mean,0.716,5.176,2.055,25.014,0.287
tlira,0.7,0.978,0.395,0.629,4.126,0.045
tlira,0.75,0.974,0.454,0.674,4.502,0.048
tlira,0.8,0.968,0.171,0.413,2.673,0.029
tlira,0.85,0.957,0.018,0.134,0.779,0.009
tlira,0.9,0.933,0.059,0.242,1.325,0.017
tlira,0.95,0.875,0.064,0.252,1.492,0.017
tlira,Seq,0.167,2.455,1.567,8.577,0.126
tlira,mean,0.947,0.193,0.391,2.483,0.028
