,,CEV,GBM,CEV,GBM,CEV,GBM,CEV,GBM
Asset,Weight,HitRatio,HitRatio,RMSE,RMSE,MAPE,MAPE,NRMSE,NRMSE
"adesso","0.7",0,0,353.672,348.643,331.223,326.243,3.207,3.161
"adesso","0.75",0.234,0.264,74.388,68.319,70.001,64.657,0.723,0.664
"adesso","0.8",0.031,0.033,89.045,87.891,91.443,90.313,0.944,0.932
"adesso","0.85",0.414,0.403,35.525,36.093,36.996,37.577,0.394,0.401
"adesso","0.9",0.704,0.701,16.268,16.893,17.544,18.32,0.193,0.2
"adesso","0.95",0.651,0.534,14.105,15.44,13.744,15.099,0.157,0.172
"adesso","Seq",0.278,0.312,10.507,10.531,9.081,9.046,0.14,0.14
"adesso","mean",0.339017575444051,0.322461430641625,97.1670900388411,95.546392750547,93.4917778959397,92.0345949443868,0.936385762028138,0.921676235277116
"dax","0.7",0.681,0.696,4553.571,4888.333,30.365,32.183,0.325,0.349
"dax","0.75",0.97,0.971,2306.103,2156.366,13.618,12.694,0.157,0.147
"dax","0.8",0.903,0.916,1746.311,1780.029,8.751,9.181,0.114,0.117
"dax","0.85",0.837,0.857,2610.952,2686.951,10.776,11.045,0.159,0.164
"dax","0.9",0.8,0.805,2257.903,2543.336,8.481,9.436,0.13,0.147
"dax","0.95",0.429,0.539,3513.141,3413.421,13.538,13.06,0.176,0.171
"dax","Seq",0.317,0.328,445.633,444.66,4.276,4.275,0.059,0.059
"dax","mean",0.770081493631231,0.797188059009539,2831.33029935847,2911.40604789036,14.2548277554503,14.5999505214369,0.17689206992576,0.182233541166556
"lufthansa","0.7",0.679,0.495,3.126,2.602,37.716,30.604,0.437,0.363
"lufthansa","0.75",0.843,0.852,2.136,1.348,23.397,12.954,0.299,0.189
"lufthansa","0.8",0.809,0.781,1.827,1.471,18.906,13.852,0.25,0.201
"lufthansa","0.85",0.189,0.065,3.423,3.845,47.758,53.686,0.468,0.525
"lufthansa","0.9",0.886,0.748,0.983,1.125,13.383,15.431,0.147,0.168
"lufthansa","0.95",0.891,0.825,0.835,0.806,8.923,8.687,0.123,0.118
"lufthansa","Seq",0.263,0.254,1.254,1.249,8.038,8.013,0.103,0.103
"lufthansa","mean",0.715994129091919,0.627577906894097,2.05497147556219,1.86594510729367,25.0139434591148,22.5358891837661,0.287128201802147,0.260855810035183
