Asset,Weight,HitRatio,MSE,RMSE,MAPE,NRMSE
adesso,0.7,0,121552.115,348.643,326.243,3.161
adesso,0.75,0.264,4667.476,68.319,64.657,0.664
adesso,0.8,0.033,7724.754,87.891,90.313,0.932
adesso,0.85,0.403,1302.707,36.093,37.577,0.401
adesso,0.9,0.701,285.362,16.893,18.32,0.2
adesso,0.95,0.534,238.39,15.44,15.099,0.172
adesso,Seq,0.312,110.908,10.531,9.046,0.14
adesso,mean,0.32246143064162514,22628.467513618085,95.54639275054697,92.03459494438681,0.9216762352771163
dax,0.7,0.696,23895798.534,4888.333,32.183,0.349
dax,0.75,0.971,4649913.195,2156.366,12.694,0.147
dax,0.8,0.916,3168502.117,1780.029,9.181,0.117
dax,0.85,0.857,7219707.895,2686.951,11.045,0.164
dax,0.9,0.805,6468558.899,2543.336,9.436,0.147
dax,0.95,0.539,11651445.505,3413.421,13.06,0.171
dax,Seq,0.328,197722.879,444.66,4.275,0.059
dax,mean,0.7971880590095386,9508987.690776123,2911.406047890365,14.59995052143687,0.18223354116655607
lufthansa,0.7,0.495,6.769,2.602,30.604,0.363
lufthansa,0.75,0.852,1.818,1.348,12.954,0.189
lufthansa,0.8,0.781,2.164,1.471,13.852,0.201
lufthansa,0.85,0.065,14.781,3.845,53.686,0.525
lufthansa,0.9,0.748,1.265,1.125,15.431,0.168
lufthansa,0.95,0.825,0.649,0.806,8.687,0.118
lufthansa,Seq,0.254,1.561,1.249,8.013,0.103
lufthansa,mean,0.6275779068940969,4.574082635794556,1.8659451072936748,22.53588918376609,0.26085581003518266
